ST	ace	gltB	gmhD	lepA	lipA	narK	ndh
1	1	1	13	2	4	2	1
2	1	1	2	4	1	1	1
3	1	1	2	2	5	3	1
4	1	1	4	2	1	2	1
5	1	1	5	1	1	1	1
6	1	1	7	2	4	5	1
7	1	1	10	2	5	1	1
8	1	1	11	6	1	3	1
9	1	1	12	1	1	1	1
10	1	1	13	1	1	1	1
11	1	1	13	1	6	1	1
12	1	1	13	1	5	1	1
14	1	2	2	2	5	2	1
15	1	2	2	2	1	3	1
16	1	2	2	1	1	10	1
17	1	2	3	1	1	1	1
18	1	2	3	2	1	1	1
19	1	2	6	1	1	3	1
20	1	2	6	2	5	6	4
21	1	2	11	4	1	4	1
22	1	2	12	2	1	8	1
23	1	2	13	1	1	1	1
24	1	2	13	2	1	8	1
25	1	3	3	1	1	8	1
26	1	3	10	2	5	1	1
27	1	3	19	4	5	1	1
28	1	4	3	1	1	3	6
29	1	4	3	1	1	4	1
30	1	4	6	1	5	4	1
31	1	4	11	2	5	4	6
32	1	4	11	3	5	4	6
33	1	4	12	1	1	2	1
34	1	4	12	1	1	4	1
35	1	6	14	2	8	8	4
36	1	7	14	7	1	12	11
37	1	6	17	2	1	15	11
38	1	12	2	1	1	1	1
39	1	12	3	2	1	6	1
40	1	12	3	4	1	18	1
41	1	12	6	1	5	2	1
42	1	12	6	2	1	2	1
43	1	12	10	2	1	2	1
45	2	2	3	1	1	2	1
46	3	1	2	1	1	3	3
47	3	1	2	1	1	3	1
48	3	1	2	1	1	4	1
49	3	1	2	1	6	4	3
50	3	1	2	1	1	4	3
51	3	1	2	3	1	4	3
52	3	1	2	2	1	11	1
53	3	1	2	1	1	16	1
54	3	1	3	3	1	2	1
55	3	1	3	3	1	4	1
56	3	1	4	1	1	4	1
57	3	1	5	1	1	1	1
58	3	1	5	1	1	4	1
59	3	1	19	4	5	1	1
60	3	1	12	1	1	3	1
62	3	3	4	1	3	1	1
63	3	3	4	2	1	1	1
64	3	4	2	1	1	1	1
65	3	4	3	3	1	3	1
66	3	4	3	4	1	4	1
67	3	4	3	4	1	4	6
68	3	4	11	1	5	4	6
69	3	4	11	2	5	4	6
70	3	4	11	3	5	4	6
71	4	1	3	2	1	4	1
72	4	1	4	1	1	2	1
73	5	5	9	5	7	7	5
74	6	8	15	8	9	14	8
75	6	9	16	8	10	14	9
76	6	10	15	8	10	14	9
77	6	10	15	8	9	14	8
78	1	2	2	1	1	1	1
79	6	10	16	8	11	14	8
80	6	10	16	8	10	14	8
81	7	11	18	10	12	17	12
82	1	1	7	2	5	2	1
83	3	1	2	3	1	16	3
84	3	1	11	4	5	4	6
85	4	12	14	1	1	2	1
86	1	1	3	1	5	2	3
87	1	2	2	1	1	4	3
88	1	4	3	2	5	2	3
89	1	12	3	4	13	19	1
90	1	12	6	1	1	4	1
91	3	3	3	2	3	19	1
92	1	1	2	1	5	1	1
93	1	1	2	1	1	4	1
94	1	2	13	2	1	8	13
95	1	1	2	2	5	1	1
96	2	2	13	2	2	2	2
97	3	1	2	1	5	3	3
98	3	3	4	2	3	1	1
99	1	1	4	1	1	4	1
100	1	13	3	4	1	18	1
101	6	5	9	11	14	20	14
102	3	4	12	1	1	4	1
103	1	1	3	4	6	25	1
104	1	1	21	2	15	19	1
105	1	2	3	2	1	22	1
106	1	2	3	2	16	21	1
107	1	2	3	4	1	8	1
108	1	2	3	2	6	22	1
109	1	2	13	4	1	19	1
111	1	2	13	2	1	9	1
112	1	2	13	16	1	22	1
113	1	2	14	12	17	21	1
114	1	3	3	4	1	24	1
115	1	4	3	2	4	26	1
116	1	4	3	4	1	12	1
117	1	4	13	14	8	22	11
118	1	4	14	2	1	8	1
120	1	4	22	2	5	23	1
121	1	4	23	2	1	8	1
122	1	6	13	2	1	8	11
123	1	6	14	4	15	2	1
125	1	14	20	1	15	9	1
126	1	14	20	1	15	9	15
127	1	15	3	2	6	27	1
128	1	15	13	2	8	12	1
129	1	15	13	2	1	22	1
130	1	16	3	13	1	22	1
131	1	16	3	2	1	22	1
132	1	16	13	4	6	21	1
134	1	16	14	4	1	19	1
135	1	17	13	4	15	22	1
136	1	18	13	12	15	12	1
137	1	19	3	2	1	22	1
138	4	2	14	4	1	6	1
139	4	4	13	4	6	12	1
140	4	7	3	4	1	19	1
141	4	16	3	4	1	9	6
142	8	2	3	4	1	19	1
143	8	2	13	4	1	6	1
144	8	2	13	15	1	27	1
145	9	4	13	2	1	22	1
146	10	2	3	4	3	2	1
147	10	2	3	4	15	2	1
148	10	15	3	4	3	22	1
149	11	2	14	2	1	6	1
150	12	4	3	2	1	21	1
151	1	2	3	4	1	9	1
152	3	2	2	3	1	4	1
153	3	2	14	1	1	3	1
154	3	2	3	1	1	3	1
155	1	1	3	3	1	2	1
156	1	1	4	3	1	4	1
157	3	4	11	3	1	4	6
158	1	1	2	1	6	10	1
159	4	2	11	1	1	1	1
160	3	2	4	3	1	3	1
161	1	12	6	1	1	2	3
162	3	1	4	3	1	4	1
163	3	2	2	1	1	4	1
164	3	1	2	3	5	4	3
165	1	1	13	1	1	22	1
166	4	4	3	1	1	4	1
167	1	1	4	1	1	3	1
168	3	1	2	1	5	4	1
169	1	1	2	3	8	4	3
170	3	2	13	1	1	1	1
171	3	1	13	1	1	1	1
172	1	1	3	2	6	4	1
173	3	1	3	2	5	4	1
174	3	2	14	2	1	3	1
175	1	4	6	2	1	3	1
176	3	1	4	1	1	3	1
177	1	1	4	3	1	3	1
178	1	1	3	4	5	22	1
179	1	1	3	4	1	22	1
180	1	1	3	4	6	3	1
181	1	1	3	3	6	2	3
182	1	1	4	3	5	4	1
183	1	1	11	4	1	22	1
184	1	1	12	1	1	4	1
185	1	4	2	2	1	4	1
186	1	4	3	1	5	1	1
187	1	4	11	1	5	4	1
188	1	12	3	1	1	2	1
189	1	12	13	3	1	4	1
190	3	1	2	1	6	2	1
191	3	1	2	4	1	2	1
192	3	1	4	1	5	4	1
193	3	1	4	3	1	3	1
195	3	1	11	1	1	22	3
196	3	1	11	1	1	22	1
197	3	1	13	1	1	22	1
198	3	2	3	3	1	3	1
199	3	2	14	2	5	3	1
200	3	4	2	2	6	16	1
201	3	4	11	3	5	4	3
202	4	2	3	4	1	2	1
203	4	4	3	3	1	4	1
204	1	1	3	1	1	1	3
205	1	1	2	3	1	4	1
206	1	1	3	1	1	1	1
207	1	1	4	1	5	4	1
208	1	1	6	1	1	4	1
209	1	4	6	1	1	2	1
210	3	1	2	1	1	4	6
211	3	1	3	1	1	4	1
212	3	1	3	4	1	4	1
213	3	1	4	4	1	4	1
214	3	2	2	1	1	3	1
215	3	4	11	3	1	3	1
216	4	1	3	2	5	4	1
217	3	1	2	1	1	2	1
218	1	1	6	1	1	1	19
219	3	2	2	1	1	2	1
220	3	4	11	3	5	3	6
221	1	12	2	3	5	29	1
222	3	1	2	1	1	10	1
223	1	2	2	2	1	2	1
224	3	4	11	3	5	2	6
225	1	2	13	17	6	3	1
226	1	1	4	2	8	2	16
227	1	1	2	1	5	4	1
228	1	2	3	1	1	4	1
229	3	4	11	3	5	28	6
230	3	2	11	3	5	30	6
231	3	4	2	1	1	4	1
232	1	1	28	1	1	4	3
233	1	2	6	1	1	1	1
234	7	11	29	10	12	37	21
235	1	1	6	2	1	3	4
236	1	1	13	1	18	23	11
237	1	1	14	22	1	8	1
238	1	2	3	21	15	9	1
239	1	2	3	2	15	12	11
240	1	2	6	2	6	6	4
241	1	2	13	2	8	6	1
242	1	2	13	4	1	22	1
243	1	2	13	4	15	12	1
244	1	2	13	4	15	22	1
245	1	2	14	2	1	12	1
246	1	2	22	18	1	22	11
247	1	2	23	2	1	31	1
248	1	2	25	4	3	19	1
249	1	2	32	4	15	8	1
250	1	3	3	3	5	1	1
251	1	3	13	1	1	36	1
252	1	4	3	2	6	19	1
253	1	6	3	2	8	8	4
254	1	4	3	2	2	34	1
255	1	4	3	2	1	8	1
256	1	4	13	2	1	35	11
257	1	4	24	2	1	6	11
258	1	6	3	2	1	19	11
259	1	6	13	2	15	8	11
260	1	6	30	4	1	12	1
261	1	7	3	20	1	3	1
262	1	7	26	19	1	22	1
263	1	15	3	4	1	38	1
264	1	15	3	2	6	2	11
265	1	15	13	2	21	2	1
266	1	15	14	14	1	8	1
267	1	15	27	4	20	6	18
268	1	15	31	4	6	19	1
269	1	21	3	2	5	22	11
270	1	22	13	23	6	19	1
271	3	1	2	3	1	4	1
272	3	3	3	2	1	19	1
273	3	4	2	3	1	2	3
274	4	20	13	2	3	6	11
275	8	2	3	15	1	27	1
276	8	4	13	1	8	8	11
277	8	4	24	2	1	32	11
278	10	2	3	4	3	2	17
279	10	4	13	4	1	22	1
280	12	1	3	1	1	22	1
281	12	4	6	2	3	33	1
282	12	4	22	2	1	6	1
283	12	4	23	4	1	19	1
284	13	15	13	4	6	6	11
285	14	4	3	2	19	8	13
286	15	2	13	2	20	19	1
287	15	2	24	4	6	6	11
288	3	2	3	2	1	3	1
289	3	4	11	4	5	4	6
290	3	4	11	3	5	4	1
291	8	4	24	2	1	22	11
292	9	2	3	2	8	8	1
294	1	23	14	4	1	9	11
295	1	24	3	4	15	8	1
296	1	2	14	4	1	22	11
297	1	1	2	2	5	6	1
298	1	1	2	2	1	2	1
299	1	1	2	1	5	3	1
300	1	1	3	1	1	4	1
301	1	1	3	4	1	2	1
302	1	1	3	4	1	4	1
303	1	1	4	1	1	1	1
304	1	1	5	1	1	4	1
305	1	1	11	1	6	4	1
306	1	2	3	1	1	2	1
307	1	2	3	1	1	3	1
308	1	2	3	3	1	2	3
309	1	2	3	17	1	1	1
310	1	2	4	1	1	2	1
311	1	2	6	1	1	4	19
312	1	4	2	1	1	3	1
313	1	4	2	2	1	3	1
314	1	4	3	1	1	2	1
315	1	4	3	1	1	3	1
316	4	12	6	1	1	5	3
317	1	26	6	2	1	40	11
318	16	25	33	24	22	39	22
319	4	12	34	3	5	2	1
320	1	15	13	4	1	24	11
321	4	1	3	4	1	12	1
322	1	1	6	4	15	9	1
323	1	4	14	1	1	12	1
324	1	6	14	1	1	8	23
325	1	1	13	4	15	3	11
326	12	1	13	25	1	9	1
327	12	1	13	25	1	35	1
328	4	1	13	4	15	6	1
329	1	6	3	4	1	12	1
330	1	2	14	4	1	41	1
331	1	2	14	26	1	12	1
332	1	16	3	2	1	22	11
333	1	27	14	14	1	8	1
334	10	16	3	4	15	22	1
335	1	4	13	4	1	2	1
336	1	4	14	28	1	19	3
337	1	4	24	2	1	22	1
339	1	23	2	27	6	16	13
340	8	28	3	18	1	6	1
341	1	7	13	4	1	22	1
342	3	1	3	1	1	3	3
343	4	2	3	4	1	42	1
344	1	12	6	4	3	8	1
345	6	10	15	8	10	14	8
346	1	2	3	2	1	4	1
347	1	1	7	4	5	1	1
348	1	2	3	2	8	1	1
349	1	1	13	2	6	1	1
350	3	1	28	1	6	1	1
351	3	4	4	1	5	4	1
352	6	10	15	29	10	14	9
353	8	29	22	2	18	6	1
354	1	1	3	2	1	4	1
355	6	10	16	8	9	14	8
356	6	10	16	30	9	14	9
357	6	31	15	8	10	14	8
358	6	31	15	8	9	14	9
359	6	10	15	8	24	14	9
360	6	10	15	30	10	14	9
361	6	10	15	8	9	14	9
362	6	10	16	8	9	14	9
363	6	10	16	8	10	14	9
364	1	3	4	3	1	4	3
365	3	2	4	1	1	3	1
366	3	1	2	3	8	4	3
367	3	1	11	1	1	3	1
368	3	1	2	3	8	4	1
369	3	1	2	1	5	4	3
