ST	carB	clpX	dnaA	murC	murE	pepN	pepX	pyrG	recA	rpoB	clonal_complex
1	2	2	2	2	4	10	6	5	2	4	CC2
2	8	7	2	7	6	7	9	5	2	3	
3	8	7	1	1	4	7	9	9	2	3	
4	2	2	2	2	4	9	9	5	2	2	CC8
5	2	2	2	4	4	11	6	5	2	2	CC2
6	2	3	2	4	4	11	6	5	2	2	CC2
7	2	8	2	2	2	11	2	5	2	5	
8	2	7	2	2	2	11	2	5	2	2	
9	2	2	2	2	4	9	2	5	2	2	CC8
10	2	2	6	4	4	11	4	5	2	2	CC2
11	2	2	2	7	4	6	2	6	2	2	
12	2	2	2	4	4	11	4	5	2	2	CC2
13	2	2	2	7	4	11	9	5	2	2	CC8
14	2	2	5	2	4	2	11	6	2	9	CC9
15	2	2	4	2	4	2	9	6	6	2	
16	2	2	4	2	1	7	9	6	6	2	CC11
17	2	12	4	2	4	7	5	2	2	8	
18	2	12	4	2	1	6	7	6	2	2	CC13
19	2	12	4	6	1	6	7	6	2	2	CC13
20	1	13	4	2	1	7	5	2	2	2	CC16
21	1	13	4	6	1	5	5	2	6	2	
22	1	13	2	6	4	5	4	5	2	2	
23	2	2	2	6	4	11	9	5	2	3	
24	2	2	2	2	4	11	6	5	2	2	CC2
25	2	12	2	2	4	11	2	2	2	2	CC1
26	5	1	5	2	11	2	11	5	2	2	CC6
27	1	13	4	2	4	7	5	2	2	2	CC16
28	5	1	5	2	11	2	11	6	2	2	CC6
29	5	1	5	2	11	2	11	6	2	9	CC6
30	2	7	5	2	4	2	11	2	2	9	
31	2	8	2	2	4	13	2	5	2	4	CC1
32	8	8	2	7	7	11	2	5	2	2	
33	2	2	4	2	1	7	9	5	6	2	CC11
34	8	8	2	2	4	11	2	4	2	2	CC1
35	8	10	2	4	8	13	2	5	2	4	
36	8	11	2	4	4	11	2	5	2	4	CC7
37	8	8	2	2	4	11	2	5	2	2	CC1
38	8	8	2	2	4	11	2	5	3	4	
39	2	8	2	2	4	11	2	5	2	4	CC1
40	3	8	2	2	4	11	2	5	2	4	CC1
41	8	7	2	2	4	11	2	5	2	2	CC1
42	2	2	2	2	4	11	6	5	2	4	CC2
43	2	2	2	4	4	11	6	5	2	4	CC2
44	2	2	2	2	4	11	5	6	2	2	CC2
45	2	8	2	2	4	11	2	6	2	4	CC1
46	2	11	2	4	4	11	2	5	2	4	CC7
47	7	10	5	4	4	3	2	9	2	3	CC14
48	7	10	5	4	4	3	2	6	2	3	CC14
49	2	10	2	2	4	11	2	5	2	2	CC1
50	2	10	2	2	4	11	2	2	2	2	CC1
51	8	7	2	4	4	11	2	5	2	2	CC1
52	2	2	2	2	4	11	6	6	2	2	CC2
53	8	11	2	4	4	11	6	6	2	4	CC7
54	8	10	2	2	4	11	2	5	2	2	CC1
55	8	11	2	4	4	11	6	5	2	4	CC7
56	4	12	4	2	1	3	7	6	2	2	
57	2	8	2	2	4	11	2	5	2	2	CC1
58	2	2	5	2	4	2	11	7	2	9	CC9
59	2	2	5	2	4	2	11	6	2	2	CC9
60	2	2	4	3	1	7	9	5	6	2	CC11
61	2	2	4	2	1	7	2	2	1	7	
62	2	2	4	2	4	7	9	6	2	2	
63	2	2	2	7	4	4	9	9	2	3	CC3
64	2	7	2	2	4	7	9	9	2	3	CC3
65	8	7	3	7	6	10	9	9	2	6	
66	2	7	2	7	4	4	9	9	2	3	CC3
67	2	7	2	7	4	7	9	9	2	3	CC3
68	1	13	4	6	1	5	5	5	2	2	CC12
69	2	2	4	6	1	6	7	6	2	2	CC13
70	2	6	2	7	4	7	10	6	2	2	
71	2	7	2	7	4	11	9	5	2	3	CC3
72	5	1	2	7	5	3	3	6	2	2	CC4
73	5	1	2	2	5	3	2	6	2	2	CC4
74	5	1	2	2	11	2	11	6	2	2	CC6
75	5	1	2	5	4	3	2	6	2	2	CC4
76	5	1	2	2	4	3	2	6	2	2	CC4
77	5	15	2	5	5	3	3	6	2	2	
78	5	1	5	2	11	2	2	6	2	3	
79	2	7	2	7	4	10	9	5	4	3	CC15
80	5	1	2	2	3	3	2	6	2	2	CC4
81	5	1	2	2	5	3	2	6	2	9	CC4
82	8	7	2	7	6	10	9	8	2	3	
83	2	7	2	2	4	7	9	3	2	3	CC3
84	2	1	2	2	11	2	11	6	2	2	CC6
85	1	13	4	6	1	5	5	2	2	8	CC12
86	1	13	4	6	1	5	5	5	2	8	CC12
87	1	12	4	2	4	8	5	2	2	7	CC5
88	1	12	4	2	4	8	5	6	2	8	CC5
89	1	12	4	2	4	5	5	2	5	2	
90	1	12	4	2	4	5	5	2	2	8	CC5
91	2	2	2	7	6	7	9	9	2	3	CC3
92	2	10	2	2	4	12	2	5	2	2	CC1
93	1	12	4	2	4	8	5	2	2	8	CC5
94	1	12	4	2	4	11	5	2	2	8	CC5
95	1	12	4	2	4	8	5	5	2	8	CC5
96	5	1	2	2	5	3	3	6	2	2	CC4
97	5	14	2	4	4	2	8	6	2	2	
98	6	4	2	2	9	14	1	6	2	2	
99	2	2	2	2	4	11	2	6	2	3	
100	5	5	2	2	10	2	8	6	2	2	
101	5	9	2	4	4	14	1	5	2	2	
102	2	9	2	7	4	11	2	6	2	2	
103	2	2	2	7	4	9	9	5	2	2	CC8
104	5	9	2	2	4	14	2	1	2	1	CC10
105	5	9	2	2	4	1	2	4	2	1	CC10
106	2	7	5	7	4	10	9	5	4	3	CC15
107	5	9	2	2	4	1	2	1	2	1	CC10
108	2	16	2	2	4	15	9	6	2	10	
109	2	7	2	8	6	7	7	6	2	10	
110	2	7	2	7	4	7	9	5	2	3	CC3
111	2	2	7	2	12	5	5	2	2	8	
112	2	9	8	2	13	16	12	10	7	11	
113	9	17	9	2	11	9	13	11	2	3	
114	10	7	2	9	14	17	14	6	2	12	
115	2	7	2	7	6	7	9	9	2	3	CC3
116	2	7	2	7	4	7	9	10	2	3	CC3
117	8	2	2	7	4	7	9	10	2	3	
118	2	7	2	7	6	7	5	12	2	3	
119	2	18	2	7	4	7	15	12	2	13	
