ST	clpC	fusA	gyrB	ileS	purF	rplB	rpoB
1	1	1	1	1	1	1	1
2	2	2	2	2	2	2	2
3	3	1	1	3	1	1	1
4	2	2	3	4	3	1	3
5	4	3	4	5	4	3	4
6	4	4	4	6	5	4	5
7	4	3	5	7	6	4	6
8	4	5	4	8	5	4	7
9	4	6	6	9	7	4	8
10	4	4	7	10	8	4	9
11	4	6	8	10	8	3	8
12	5	7	9	10	9	4	10
13	6	7	5	5	10	4	7
14	4	8	6	10	8	4	10
15	7	9	10	8	8	4	11
16	4	6	4	11	11	4	12
17	4	10	9	8	11	4	13
18	6	11	5	5	4	4	7
19	8	12	9	10	12	3	10
20	4	13	4	12	13	3	9
21	7	6	4	11	14	4	7
22	6	14	5	13	9	4	10
23	4	15	6	14	13	4	9
24	9	6	9	15	15	5	13
25	4	16	10	5	8	4	13
26	4	4	5	16	5	4	14
27	10	17	11	17	5	4	13
28	6	6	9	9	11	4	6
29	4	7	12	15	4	3	6
30	11	11	13	5	16	4	7
31	12	18	14	18	17	6	15
32	13	19	14	19	18	6	16
33	12	20	14	20	18	6	16
34	13	20	14	21	19	6	15
35	12	20	14	22	20	6	15
36	14	21	15	23	21	7	17
37	12	20	16	19	17	6	15
38	13	20	14	24	22	6	15
39	13	20	17	25	18	6	15
40	15	20	14	26	17	6	18
41	12	20	14	19	18	6	19
42	13	20	18	25	18	6	15
43	16	22	19	24	20	6	15
44	12	23	19	19	18	6	15
45	12	20	14	25	23	6	15
46	12	20	14	27	18	8	20
47	13	22	20	19	18	6	15
48	12	20	20	19	18	6	21
49	13	20	19	19	18	6	20
50	12	24	21	28	24	8	15
51	13	20	20	19	25	6	15
52	13	20	14	29	20	6	15
53	12	25	14	30	26	8	15
54	13	22	19	31	18	6	15
55	17	26	22	32	27	9	22
56	18	26	23	33	27	10	23
57	17	27	24	32	27	9	24
58	17	26	25	32	27	11	23
59	17	28	24	34	27	9	22
60	17	26	26	35	28	9	25
61	17	26	27	33	28	9	26
62	17	26	24	36	29	10	27
63	19	26	28	37	27	9	22
64	19	29	24	32	30	12	22
65	17	27	29	37	28	10	23
66	17	26	30	38	28	9	28
67	17	27	31	39	27	9	22
68	19	30	32	37	31	9	27
69	17	27	33	36	32	13	22
70	17	26	29	32	32	14	22
71	17	26	34	40	27	14	22
72	17	29	35	41	28	10	22
73	17	26	26	37	27	9	22
74	17	26	25	32	33	9	22
75	20	27	24	37	27	10	29
76	21	26	36	37	34	15	23
77	17	27	37	37	27	9	30
78	17	26	32	42	28	9	31
79	22	26	38	37	27	9	22
80	23	31	39	43	35	16	32
81	17	32	24	37	28	11	22
82	20	27	24	44	28	9	33
83	24	33	40	32	35	17	34
84	17	26	24	34	27	9	27
85	17	27	41	37	34	9	35
86	17	30	25	37	27	18	36
87	17	32	25	37	32	9	31
88	17	27	27	45	32	13	27
89	17	26	26	33	27	9	22
90	25	34	42	46	36	19	37
91	26	35	43	47	37	20	38
92	27	36	44	48	38	21	39
93	28	37	45	49	39	18	40
94	29	38	46	50	40	22	41
95	30	39	47	51	5	23	42
96	17	27	35	37	27	9	22
98	31	20	19	52	20	6	15
100	6	34	42	46	36	19	37
101	32	40	48	53	41	25	43
102	1	39	47	51	1	23	42
103	17	30	25	54	28	10	44
104	6	41	10	13	11	4	7
