ST	nusA	rpoB	eno	gltB	lepA	nuoL	nrdA	clonal_complex
1	1	26	2	2	59	8	1	
2	1	26	2	4	59	2	5	
3	1	26	2	2	62	8	1	
4	1	26	2	2	68	8	1	
5	1	26	7	2	59	3	2	
6	1	37	1	1	62	9	1	
7	1	46	2	4	62	8	2	
8	2	22	2	4	59	8	1	
9	2	27	14	2	64	7	2	
10	3	26	2	5	59	8	2	
11	4	21	2	4	61	8	2	
12	5	21	2	2	59	8	2	
13	6	21	2	2	59	8	2	
14	6	21	8	2	59	8	2	
15	6	21	8	2	59	2	4	
16	6	26	2	2	59	8	1	
17	6	26	3	2	60	8	2	
18	6	26	4	2	63	4	2	
19	7	21	2	2	62	8	2	
20	8	26	2	4	59	8	2	
21	9	26	15	2	62	8	1	
22	10	43	6	2	65	5	7	
23	11	45	30	17	67	22	6	
24	12	39	8	1	59	1	2	
25	12	39	8	1	59	14	2	
26	13	37	1	1	59	4	3	
27	14	26	2	2	59	13	3	
28	14	40	2	2	59	8	2	
29	15	44	5	3	66	6	8	
30	16	28	26	14	46	19	10	
31	16	30	29	16	46	19	10	
32	17	28	23	16	42	18	14	
33	17	28	24	5	46	19	13	
34	17	31	23	15	45	8	11	
35	17	31	25	7	46	15	11	
36	17	31	27	16	43	19	11	
37	17	32	26	16	44	19	15	
38	17	36	23	16	46	19	10	
39	18	32	24	5	46	19	11	
40	19	28	22	16	46	19	11	
41	19	28	23	15	46	19	10	
42	19	29	26	16	42	18	10	
43	19	33	5	15	47	19	12	
44	20	41	9	12	69	20	16	
45	20	41	9	12	69	22	16	
46	20	42	10	12	69	21	17	
47	21	25	12	7	49	11	9	
48	21	34	28	7	50	8	9	
49	22	23	11	7	50	11	9	
50	22	23	11	7	52	10	9	
51	22	23	12	7	51	11	9	
52	22	24	11	7	48	8	9	
53	22	34	12	7	48	8	10	
54	22	35	26	7	48	17	10	
55	22	38	28	6	48	12	9	
56	23	48	14	10	56	14	21	
57	23	50	14	11	54	14	22	
58	24	49	14	8	53	16	21	
59	25	47	13	9	55	16	22	
60	26	47	13	10	53	14	21	
61	27	41	18	18	57	23	20	
62	27	54	21	18	58	25	19	
63	28	51	19	19	57	23	19	
64	28	52	20	18	57	23	19	
65	28	53	20	20	57	24	18	
66	29	19	17	22	39	27	23	
67	29	19	17	23	39	27	23	
68	29	19	17	42	39	27	23	
69	29	20	17	21	40	27	23	
70	30	19	17	21	39	27	24	
71	31	11	37	13	41	26	25	
72	32	15	38	31	29	28	29	
73	32	15	38	30	31	28	27	
74	32	15	38	31	31	28	28	
75	32	15	40	31	30	28	31	
