ST	adk	atpG	deoD	mdh	pgi	recA	zwf
1	1	1	1	1	1	3	8
3	1	1	1	1	10	3	8
4	1	1	1	1	10	45	8
5	1	1	3	6	1	3	8
7	2	1	1	3	4	1	1
8	2	1	1	3	4	1	64
9	2	1	1	9	4	1	1
10	2	1	1	52	3	4	13
11	2	1	3	3	4	1	1
12	2	1	3	3	4	1	5
13	2	1	4	2	13	4	16
14	2	1	5	3	4	1	1
15	2	1	11	2	3	26	13
16	2	1	32	7	45	9	52
17	2	1	33	54	54	1	67
18	2	1	34	7	45	9	52
19	2	1	34	7	45	9	56
20	2	1	34	7	45	10	52
21	2	1	43	3	4	1	68
22	2	5	1	2	8	7	7
23	2	6	1	2	15	1	18
24	2	6	1	2	15	1	22
25	2	6	1	8	15	1	18
26	2	6	2	2	2	4	11
27	2	6	2	2	2	4	50
28	2	6	2	4	2	4	50
29	2	6	2	4	2	5	50
30	2	8	4	2	3	34	54
31	2	8	4	2	3	34	57
32	2	9	1	2	17	1	20
33	2	25	6	2	52	46	53
34	2	26	1	5	3	12	51
35	2	27	2	4	2	5	50
36	2	27	2	4	2	5	55
37	2	28	4	2	3	34	54
38	2	29	2	4	2	4	50
39	2	37	10	2	8	7	51
40	2	40	3	3	4	1	1
41	3	8	3	11	3	2	10
42	4	1	3	12	3	8	10
43	4	1	3	12	44	8	10
44	4	1	3	16	14	13	17
45	4	1	3	50	3	8	10
46	5	2	4	13	3	1	9
47	5	2	4	13	3	47	63
48	5	2	4	14	3	1	9
49	5	2	40	13	3	48	9
50	5	38	3	51	3	49	65
51	5	39	3	51	3	49	65
52	9	1	3	13	9	14	6
53	10	6	2	12	2	4	12
54	10	6	2	12	2	4	21
55	11	1	12	15	11	4	14
56	13	1	6	2	16	11	19
57	13	1	35	2	16	11	19
58	14	9	1	2	17	1	20
59	14	9	41	2	17	1	20
60	15	1	3	2	4	1	1
61	38	25	4	2	8	7	49
62	39	1	33	2	8	9	53
63	40	6	2	2	2	4	50
64	45	1	33	1	10	3	8
65	48	7	1	10	12	6	15
66	49	41	1	53	3	51	66
67	50	1	1	12	53	1	14
68	8	4	9	27	7	19	3
69	8	10	20	31	28	27	34
70	16	10	13	37	18	22	23
71	17	11	14	29	19	31	25
72	23	16	19	39	25	25	31
73	25	17	21	27	29	23	35
74	28	19	23	44	33	28	38
75	32	16	23	27	33	25	38
76	34	22	19	30	39	30	44
77	6	10	13	38	18	22	24
78	21	15	9	36	26	31	32
79	21	15	18	41	23	24	29
80	21	16	26	43	36	26	42
81	21	16	26	43	37	26	42
82	22	15	19	34	24	31	30
83	24	15	9	42	27	36	33
84	26	18	22	35	30	21	36
85	27	10	19	32	32	26	37
86	29	20	9	33	34	29	39
87	30	10	29	36	41	33	46
88	31	21	25	35	35	20	41
89	33	15	27	40	38	32	43
90	35	23	28	45	40	35	45
91	19	13	16	20	21	16	27
92	20	14	17	21	22	17	28
93	37	13	31	22	43	18	48
94	18	12	15	23	20	37	26
95	41	30	36	17	46	40	59
96	42	1	36	18	47	41	60
97	46	34	38	48	50	39	58
99	7	3	8	46	6	15	4
100	7	3	8	47	6	15	4
101	6	35	7	25	5	43	2
102	43	31	37	26	48	43	61
103	47	36	39	49	51	44	62
