ST	adk_2	glmU_2	icdA_2	lipL32_2	lipL41_2	mreA_2	pntA_2	clonal_complex
1	1	1	1	1	1	1	1	
2	2	1	2	2	2	2	2	
3	3	2	3	3	3	1	3	
4	3	2	2	4	4	1	3	
5	4	3	2	2	2	3	2	
6	4	1	2	2	2	4	2	
7	3	1	2	2	5	5	2	
8	5	1	2	2	5	4	2	
9	5	4	4	2	5	6	4	
10	6	2	5	5	6	1	3	
11	7	5	6	6	7	7	5	
12	5	6	3	2	8	8	6	
13	8	7	2	2	9	9	7	
14	5	1	2	2	10	9	2	
15	9	8	7	7	11	10	8	
16	10	1	2	3	12	11	9	
17	11	9	8	6	13	12	10	
18	12	10	9	8	7	7	11	
19	13	11	10	9	14	9	12	
20	14	10	11	8	15	7	11	
21	5	1	12	2	16	9	2	
22	3	1	13	2	17	13	2	
23	3	2	14	2	18	9	13	
24	3	7	15	2	19	14	14	
25	3	7	3	2	20	14	14	
26	3	1	2	2	20	11	2	
27	15	1	2	2	20	11	2	
28	5	1	2	2	20	9	2	
29	5	7	2	2	21	11	7	
30	16	6	3	2	20	11	2	
31	17	12	16	8	22	7	15	
32	18	1	2	2	17	9	2	
33	19	6	2	2	16	5	2	
34	20	1	2	2	17	4	2	
35	4	2	17	3	23	13	3	
36	3	1	2	2	17	15	2	
37	3	1	18	2	2	1	2	
38	5	1	3	2	24	9	2	
39	21	13	3	2	25	1	2	
40	3	1	3	2	24	9	2	
41	5	1	3	2	25	9	7	
42	22	1	19	2	24	1	12	
43	23	2	20	2	2	11	13	
44	24	1	2	2	2	4	2	
45	25	6	2	2	2	4	2	
46	26	3	2	2	26	3	2	
47	5	1	3	2	5	4	2	
48	5	1	3	3	3	4	2	
49	3	13	2	10	4	16	9	
50	3	2	2	10	5	1	3	
51	3	13	2	10	4	1	9	
52	3	2	2	10	4	1	3	
53	3	1	3	3	3	4	2	
54	3	1	3	2	5	4	2	
55	5	2	3	3	3	1	3	
56	27	2	2	10	4	1	3	
57	28	14	21	8	7	17	16	
58	3	2	2	11	4	1	3	
59	7	5	22	6	7	7	5	
60	29	15	23	12	27	18	17	
61	30	16	24	13	28	19	18	
62	31	17	25	14	29	20	19	
63	32	18	26	15	30	21	20	
64	33	19	27	3	20	22	21	
65	15	5	21	8	7	7	11	
66	3	1	2	2	31	9	7	
67	34	20	28	16	32	23	22	
68	35	21	29	17	33	24	23	
69	36	22	25	14	34	25	24	
70	37	23	30	18	35	26	25	
71	38	16	31	19	36	27	18	
72	28	5	11	8	37	28	11	
73	39	24	32	20	38	29	26	
74	31	17	33	21	29	30	27	
75	40	15	34	22	39	31	28	
76	17	12	22	23	22	7	15	
77	41	15	23	24	40	31	29	
78	28	25	21	6	7	7	11	
79	42	26	35	25	41	32	30	
80	43	26	36	26	42	32	31	
81	44	27	37	27	43	33	32	
82	45	28	38	19	44	27	33	
83	46	29	39	28	45	34	34	
84	28	5	1	8	37	7	11	
85	47	30	40	29	46	18	29	
86	48	31	41	30	47	35	35	
87	49	30	42	31	27	18	29	
88	50	26	43	25	29	32	31	
89	51	26	34	32	48	36	31	
90	36	17	25	14	29	20	19	
91	42	26	43	32	29	36	31	
92	52	26	34	33	29	36	31	
93	53	26	43	25	29	32	31	
94	1	1	44	1	49	37	2	
95	28	14	1	8	49	38	16	
96	54	1	2	2	17	9	2	
97	55	32	45	20	38	39	36	
98	3	7	2	2	5	9	7	
99	56	26	46	34	50	36	37	
100	28	25	21	8	7	7	11	
101	7	5	22	8	7	7	5	
102	57	33	47	35	49	17	16	
103	58	34	28	36	51	40	38	
104	59	16	26	37	52	21	20	
105	60	35	26	38	51	21	38	
106	61	16	48	36	52	21	20	
