ST	ICL1	MDR1	SAPT2	SAPT4	XYR1	ZWF1a	clonal_complex
1	1	1	1	1	1	1	
2	1	2	2	2	1	2	
3	1	3	1	3	2	3	
4	2	4	3	3	3	3	
5	1	5	4	4	4	1	
6	1	6	3	5	5	3	
7	3	7	3	6	6	4	
8	2	8	5	7	5	5	
9	4	9	3	8	4	6	
10	3	10	1	7	5	4	
11	3	11	1	7	5	4	
12	1	1	1	1	5	1	
13	1	12	4	4	4	1	
14	3	7	1	6	6	7	
15	1	7	1	9	5	1	
16	2	12	6	10	7	5	
17	5	7	1	11	4	7	
18	1	12	4	12	4	1	
19	3	13	4	7	1	1	
20	1	14	4	4	4	1	
21	3	9	7	8	4	6	
22	1	15	1	13	8	1	
23	1	16	3	7	9	3	
24	3	7	4	10	1	1	
25	6	7	3	6	2	4	
26	1	17	2	14	1	7	
27	3	7	1	6	6	4	
28	2	18	5	10	10	5	
29	1	19	3	7	3	1	
30	3	7	3	15	6	4	
31	1	20	4	4	4	1	
32	1	2	3	3	2	1	
33	3	7	3	13	4	3	
34	1	21	4	5	6	1	
35	1	7	8	6	2	4	
36	1	21	9	5	6	1	
37	3	7	3	6	11	4	
38	1	20	4	12	4	1	
39	1	22	3	10	9	3	
40	1	23	3	16	12	8	
41	1	7	4	12	13	1	
42	1	24	3	7	14	6	
43	7	25	3	7	5	1	
44	3	26	3	7	15	7	
45	1	3	3	17	16	3	
46	1	27	1	11	4	3	
47	3	4	3	3	17	3	
48	1	20	1	4	13	1	
49	8	28	3	18	17	7	
50	1	1	10	1	1	1	
51	1	29	3	19	13	1	
52	3	4	3	3	3	3	
53	5	16	3	20	9	1	
54	3	30	3	7	18	7	
55	1	31	3	21	3	1	
56	1	7	11	21	19	1	
57	9	3	3	10	19	9	
58	10	32	4	22	18	7	
59	1	7	4	4	20	1	
60	10	7	3	8	11	10	
61	1	33	12	23	21	3	
62	10	7	3	6	11	4	
63	3	9	13	24	4	3	
64	1	7	1	6	22	4	
65	1	20	4	4	4	11	
66	1	34	2	13	23	2	
67	1	3	4	11	24	1	
68	1	20	4	10	4	1	
69	2	20	4	10	25	5	
70	2	20	6	10	26	5	
71	1	7	1	7	27	9	
72	1	7	1	7	27	12	
73	11	35	14	25	28	13	
74	12	35	15	25	28	14	
75	13	36	16	26	29	15	
76	14	37	17	27	29	16	
77	1	24	3	7	30	4	
78	1	1	18	1	5	3	
79	2	20	5	10	26	5	
80	1	1	3	1	5	1	
81	1	7	18	21	1	1	
82	15	38	19	28	28	13	
83	1	39	3	7	31	17	
84	9	40	3	4	19	9	
85	9	26	3	11	24	4	
86	9	26	1	11	32	4	
87	9	26	1	11	33	10	
88	1	3	4	8	34	3	
89	3	7	4	29	35	7	
90	3	7	1	6	22	4	
91	1	41	12	23	36	9	
92	9	26	1	11	24	4	
93	3	26	3	7	24	7	
94	1	42	1	23	9	1	
95	1	43	3	7	24	6	
96	9	26	1	11	37	4	
97	1	3	3	17	9	7	
98	1	3	3	17	9	3	
99	1	44	3	7	38	3	
100	1	17	2	14	23	3	
101	10	13	1	7	23	1	
102	9	45	3	21	24	1	
103	2	18	5	10	26	5	
104	16	20	5	10	26	5	
105	1	46	12	30	16	1	
106	1	7	1	6	6	4	
107	17	47	20	31	39	18	
108	17	48	21	32	40	18	
109	3	3	1	8	41	1	
110	1	1	18	1	5	1	
111	1	1	18	1	42	1	
112	18	1	22	23	9	1	
113	10	49	3	7	34	3	
114	1	4	22	23	43	9	
115	1	34	22	8	23	2	
116	19	50	3	11	27	1	
117	10	49	3	7	34	1	
118	1	49	10	1	44	1	
119	1	1	18	1	19	1	
120	10	49	3	7	45	3	
121	10	49	3	7	46	3	
122	1	25	4	7	47	7	
123	1	4	1	7	34	1	
124	1	24	3	7	48	6	
125	9	26	1	11	49	4	
126	3	7	1	7	50	1	
127	1	32	3	7	4	4	
128	1	51	22	8	36	9	
129	1	20	4	33	4	1	
130	1	52	1	3	3	1	
131	1	34	22	13	51	2	
132	1	53	23	20	2	3	
133	1	19	12	14	23	7	
134	3	7	1	6	52	4	
135	9	54	4	7	53	9	
136	1	7	3	17	9	1	
137	1	3	24	17	54	3	
138	1	4	22	23	55	9	
139	1	4	22	23	36	9	
140	1	3	3	17	54	3	
141	1	55	12	17	56	9	
142	1	9	1	3	48	9	
143	1	54	3	6	48	7	
144	1	3	3	17	54	1	
145	3	7	1	6	2	4	
146	1	22	3	7	6	7	
147	1	7	3	17	57	3	
148	1	56	1	11	9	3	
149	1	44	3	7	58	3	
150	5	57	3	10	59	7	
151	5	1	1	34	4	19	
152	1	4	1	23	8	9	
153	3	7	1	6	60	4	
154	1	9	12	7	61	9	
155	3	7	3	6	22	4	
156	1	22	1	19	13	7	
157	1	4	1	4	62	1	
158	1	17	2	14	63	3	
159	3	24	4	7	24	20	
160	5	1	1	34	1	21	
161	1	44	12	17	15	22	
162	1	58	2	35	23	1	
163	1	17	1	17	1	22	
164	20	59	1	10	3	1	
165	21	60	3	3	64	7	
166	1	54	3	23	1	22	
167	1	54	3	23	9	22	
168	1	3	3	17	57	3	
169	1	9	1	3	48	7	
170	1	9	1	3	48	4	
171	1	4	3	23	36	9	
172	22	59	4	33	3	1	
173	21	19	3	3	64	7	
174	1	9	3	3	48	7	
175	3	7	1	6	54	4	
176	1	17	12	19	66	7	
177	1	9	3	3	2	7	
178	3	7	1	6	67	4	
179	1	3	3	17	54	7	
180	1	61	3	17	54	3	
181	1	3	3	17	54	23	
182	1	3	3	17	54	24	
183	1	20	12	17	68	3	
