ST	dnaA	rpoB	gyrB	gltX	adk	gmk	clonal_complex
1	1	1	1	1	1	1	
2	1	1	6	1	1	1	
3	1	7	2	2	3	1	
4	10	4	2	1	1	3	
5	1	4	2	7	1	3	
6	4	4	2	1	1	3	
7	1	4	2	1	1	1	
8	1	2	2	1	1	3	
9	3	1	6	1	4	3	
10	3	4	6	4	1	3	
11	3	4	6	1	1	3	
12	3	1	4	1	1	3	
13	1	1	1	1	1	3	
14	2	3	3	1	1	1	
15	1	3	1	1	2	3	
16	1	3	1	1	1	3	
17	1	1	4	1	1	1	
18	9	7	4	6	1	3	
19	8	6	5	1	1	3	
20	8	7	6	1	3	3	
21	10	1	4	5	3	3	
22	10	1	4	1	3	3	
23	7	1	4	1	3	1	
24	1	7	4	1	1	1	
25	5	7	4	1	1	3	
26	1	7	4	3	1	3	
27	6	5	6	4	2	5	
28	1	7	6	4	1	4	
29	1	7	4	4	2	2	
