ST	ANX4	BGT1	CAT1	LIP	MAT1_2	SODB	ZRF2	clonal_complex
1	1	1	1	1	1	1	1	
2	1	2	2	1	2	1	2	
3	1	3	2	1	2	1	1	
4	2	1	2	2	2	1	2	
5	1	3	2	1	2	1	2	
6	2	3	3	1	2	1	1	
7	1	1	2	2	2	1	1	
8	3	4	4	3	1	2	3	
9	2	1	3	1	1	1	1	
10	1	3	3	1	2	1	2	
11	2	1	2	1	1	1	1	
12	1	1	3	2	2	1	1	
13	1	1	2	1	2	1	2	
14	1	1	3	1	1	1	1	
15	2	1	2	1	2	1	1	
16	1	3	2	2	2	1	2	
17	3	5	2	1	1	2	4	
18	3	4	4	4	1	1	4	
19	1	3	3	1	2	1	1	
20	1	1	2	1	2	1	1	
21	1	3	3	1	1	2	1	
22	3	4	5	4	1	2	3	
23	4	1	3	1	2	1	1	
24	2	1	2	2	2	1	1	
25	2	3	2	1	2	1	1	
26	1	3	3	1	1	1	1	
27	1	1	3	1	1	3	1	
28	2	1	3	5	1	1	1	
29	1	3	2	1	1	1	1	
30	1	1	2	1	3	1	1	
31	3	4	4	4	1	2	3	
32	5	3	2	2	2	1	2	
33	2	1	4	2	4	1	1	
34	2	3	2	1	2	1	2	
35	2	3	2	2	2	1	2	
36	2	1	6	2	2	1	1	
37	2	3	2	2	2	1	1	
38	2	1	3	2	4	1	1	
39	2	1	4	1	1	1	1	
40	6	6	4	1	1	1	5	
41	7	7	3	6	1	2	5	
42	1	1	3	1	5	1	1	
43	1	3	2	7	1	4	6	
44	2	3	3	2	2	1	2	
45	1	1	3	1	1	2	5	
46	2	3	3	1	1	1	2	
47	7	1	3	1	1	2	5	
48	8	8	7	8	1	2	5	
