ST	arcC	hutU	fumC	dnaJ	glpF	menF	pta
1	1	1	1	1	1	1	1
2	1	1	1	1	1	1	3
3	1	1	1	1	1	1	6
4	1	1	1	1	1	1	8
5	1	1	1	1	4	1	1
6	1	1	1	3	2	1	2
7	1	1	1	5	4	1	1
8	1	1	1	8	1	1	1
9	1	1	1	11	1	1	1
10	1	1	5	3	2	1	2
11	1	2	1	1	1	1	1
12	1	6	1	1	1	1	3
13	2	3	3	2	1	1	2
14	3	1	1	1	3	3	2
15	3	1	1	1	3	5	2
16	3	1	1	1	3	6	2
17	3	1	1	1	10	1	2
18	4	4	4	4	5	4	4
19	5	1	1	1	6	5	2
20	6	1	6	2	7	1	2
21	7	1	6	1	3	1	5
22	8	5	14	6	3	8	2
23	9	1	8	7	8	7	7
24	10	1	6	1	9	1	5
25	11	7	2	9	11	2	4
26	12	8	7	10	12	1	2
27	13	1	1	1	1	1	1
28	1	1	1	1	2	1	2
29	1	1	1	1	2	9	2
30	1	1	1	3	15	1	2
31	1	1	1	3	17	1	2
32	1	1	6	14	3	1	2
33	1	1	6	14	13	1	2
34	1	1	9	1	1	1	1
35	1	1	10	15	3	13	2
36	3	1	1	12	10	1	2
37	8	8	7	13	3	1	2
38	14	1	6	1	3	1	2
39	15	1	13	16	3	1	2
40	16	1	6	1	2	1	2
41	16	8	17	1	3	12	2
42	17	1	1	18	2	1	2
43	19	9	11	17	14	2	10
44	20	1	6	1	5	1	5
45	21	1	1	3	2	1	2
46	23	1	6	3	16	1	9
47	1	1	1	1	3	1	5
48	1	1	6	1	3	1	5
49	1	14	1	22	1	1	14
50	3	13	1	1	3	5	2
51	6	1	1	1	2	1	2
52	6	1	12	1	19	11	12
53	8	1	7	14	3	1	5
54	18	1	5	3	2	1	2
55	18	12	7	21	20	1	13
56	22	1	1	1	3	6	2
57	23	1	6	3	16	1	1
58	24	10	15	19	18	10	11
59	25	10	15	19	18	10	11
60	26	11	16	20	11	12	4
61	12	8	7	23	3	1	15
62	1	1	6	1	3	1	2
63	1	15	13	14	10	14	2
64	1	16	6	1	3	1	2
65	8	1	6	1	3	1	2
66	8	15	13	14	10	14	2
67	8	17	6	1	21	15	2
68	1	1	1	3	2	16	2
69	1	1	1	3	3	17	2
70	1	1	1	22	1	1	1
71	1	1	1	1	1	1	22
72	1	1	6	1	23	1	5
73	1	1	6	3	16	1	1
74	1	1	7	21	25	1	2
75	1	1	18	1	1	1	1
76	1	1	18	1	2	1	1
77	1	19	1	3	2	1	2
78	4	4	4	25	5	4	4
79	19	11	19	17	14	2	10
80	25	10	15	26	18	10	11
81	26	11	16	20	11	19	4
82	27	1	1	1	1	1	1
83	28	8	7	14	3	18	2
84	29	1	13	3	24	1	2
85	30	18	7	24	22	1	16
86	19	9	19	17	14	2	10
87	26	11	16	20	11	19	17
88	1	1	20	1	1	1	1
89	31	1	6	1	27	1	2
90	1	1	1	1	1	20	1
91	1	1	1	1	1	21	1
92	1	17	1	3	25	11	2
93	16	1	8	7	29	7	7
94	32	21	8	7	8	22	7
95	33	20	8	7	28	7	7
96	1	1	1	1	1	1	23
97	1	1	1	1	1	26	1
98	1	22	1	1	1	1	1
99	1	25	1	1	1	1	1
100	1	1	1	1	38	1	1
101	1	1	6	1	35	1	5
102	1	1	23	1	30	1	5
103	1	23	23	1	30	1	5
104	1	26	1	3	2	1	2
105	1	1	1	3	3	17	19
106	1	1	1	3	3	17	21
107	1	1	21	3	2	1	2
108	1	27	6	14	3	1	2
109	1	1	1	18	2	1	2
110	1	1	1	18	2	25	2
111	1	1	1	18	33	1	2
112	1	1	1	27	2	1	2
113	1	1	1	28	3	1	2
114	1	1	1	32	32	1	2
115	1	1	1	33	3	17	2
116	3	1	1	1	10	24	2
117	3	1	1	1	36	5	2
118	6	1	12	1	19	11	18
119	6	1	12	1	34	11	12
120	6	1	6	2	1	1	2
121	6	11	6	14	37	1	2
122	11	7	2	31	11	2	4
123	16	1	13	29	1	1	2
124	31	1	13	1	3	1	2
125	34	1	1	1	6	5	2
126	35	1	1	3	2	1	2
127	36	24	22	30	31	23	20
128	12	29	24	34	40	28	25
129	37	28	22	19	39	27	24
130	38	1	1	42	1	11	2
131	26	11	16	20	11	30	4
132	1	1	23	1	30	1	26
133	1	1	1	41	2	1	2
134	25	10	15	19	18	10	29
135	16	9	26	20	5	2	4
136	3	1	1	1	3	5	1
137	1	31	6	1	41	1	5
138	41	10	22	40	39	29	28
139	40	19	1	39	2	1	2
140	6	1	25	2	1	1	2
141	1	1	1	38	2	1	2
142	19	11	19	37	14	2	10
143	39	8	13	24	3	1	27
144	1	19	1	39	2	1	2
145	30	18	7	36	22	1	16
146	8	30	6	35	3	12	2
