ST	gap	aroA	glk	dnaK	gyrB	trpE	cobQ	int_hyp	omp25
1	2	1	1	2	1	3	1	1	1
2	2	1	2	2	1	3	1	1	1
3	6	1	2	2	1	3	1	1	1
4	2	1	2	2	2	3	1	1	1
5	2	1	1	2	1	4	1	1	1
6	5	7	10	7	6	3	7	1	1
7	3	5	3	2	1	5	2	2	10
8	3	2	3	2	1	5	3	2	8
9	3	2	3	2	1	5	3	2	9
10	3	2	3	5	1	5	2	2	10
11	3	2	3	2	1	5	3	2	10
12	3	2	3	2	1	5	2	2	10
13	1	3	9	2	1	3	4	1	3
14	1	6	4	1	4	3	5	1	2
15	1	2	7	1	3	3	5	3	2
16	4	2	7	1	3	3	5	3	2
17	1	6	4	1	5	3	5	4	2
18	1	6	4	1	5	3	5	5	2
19	1	2	4	6	1	3	5	1	2
20	1	6	4	1	5	3	5	4	6
21	1	6	4	1	5	3	5	4	5
22	1	2	5	2	1	6	5	1	4
23	1	4	8	4	1	2	5	1	2
24	1	2	6	2	1	2	5	1	2
25	1	2	4	2	1	2	5	1	2
26	1	2	4	2	1	2	6	1	7
27	1	2	4	3	1	1	5	1	2
28	2	1	1	2	1	3	12	1	1
29	2	1	21	2	1	3	1	1	1
30	2	1	2	2	9	3	1	1	1
31	2	1	2	2	1	3	1	1	17
32	5	7	4	7	1	3	7	1	1
33	5	8	4	7	1	3	7	1	12
34	5	8	4	7	1	3	7	1	1
35	7	7	4	2	1	3	9	1	20
36	7	7	4	2	1	3	9	1	1
37	2	2	19	8	8	3	9	1	14
38	2	2	16	8	8	3	9	1	13
39	3	2	24	2	1	5	3	2	8
40	3	2	25	2	1	5	3	2	8
41	3	2	26	2	1	5	3	2	8
42	3	2	3	2	1	12	3	2	8
43	12	2	3	2	1	5	3	2	10
44	1	2	7	1	3	9	5	3	2
45	1	10	7	1	3	3	5	3	2
46	4	2	7	1	3	8	5	3	16
47	1	2	14	2	1	3	5	6	11
48	1	2	18	2	1	3	5	6	11
49	1	2	4	2	1	2	10	1	7
50	8	9	15	9	7	7	8	7	15
51	8	2	15	9	7	7	8	16	15
52	10	13	22	11	10	10	11	9	18
53	1	11	4	2	1	3	5	1	2
54	9	12	20	10	1	3	5	8	2
55	13	15	27	13	12	13	13	11	21
56	11	14	23	12	11	11	8	10	19
57	1	4	12	4	1	2	5	1	2
58	1	4	13	4	1	2	5	1	2
59	1	4	11	4	1	2	5	1	2
60	1	4	17	4	1	2	5	1	2
61	14	16	4	2	1	2	5	1	22
62	3	2	28	2	1	5	3	2	8
63	15	17	29	14	13	14	14	12	23
64	16	19	30	15	16	15	15	1	24
65	18	20	33	17	15	17	17	14	26
66	20	17	29	14	13	14	14	12	23
67	17	18	31	16	14	16	16	13	25
68	19	21	32	18	17	18	18	1	27
69	21	22	34	19	18	19	19	15	28
70	3	23	35	2	1	5	3	2	8
71	3	2	36	2	1	5	3	2	8
72	2	2	19	8	8	3	9	1	29
73	1	3	9	2	1	3	20	1	30
74	2	1	2	2	1	3	1	4	1
75	2	1	2	2	1	3	1	4	29
76	27	20	33	14	18	23	24	22	34
77	28	18	42	22	24	25	25	24	36
78	29	27	43	23	25	26	26	25	37
79	30	4	8	4	1	2	5	1	2
80	25	24	39	20	19	20	21	18	32
81	1	4	44	4	1	2	5	1	2
82	7	7	4	2	1	22	9	1	1
83	5	7	4	2	1	3	9	19	35
84	7	7	40	2	1	3	9	1	20
85	31	17	45	24	26	27	8	26	38
86	23	25	38	21	20	21	22	17	31
87	3	2	28	2	1	3	3	2	8
88	3	2	3	2	27	5	3	2	10
89	1	4	46	4	1	2	5	1	2
90	1	4	47	4	1	2	5	1	2
91	3	2	3	2	1	5	27	2	10
92	3	2	28	2	21	5	3	2	8
93	3	26	28	2	1	5	3	2	8
94	1	6	4	1	5	3	5	23	2
95	3	2	3	2	1	5	1	8	2
96	3	2	3	2	1	24	3	8	2
97	1	3	9	2	1	28	4	1	3
98	1	2	7	1	3	3	28	3	2
99	32	2	3	2	1	5	3	2	8
100	31	28	48	25	28	29	29	14	18
101	3	2	49	2	1	5	3	2	8
102	3	2	35	2	1	5	3	2	8
103	33	1	1	2	1	3	1	1	1
104	4	2	7	27	3	3	5	3	2
105	2	30	1	2	1	3	1	1	1
106	1	6	19	1	5	3	5	4	6
107	3	5	3	2	1	30	2	2	10
108	1	6	4	1	4	3	5	27	2
109	1	31	4	28	4	3	30	1	2
110	34	2	7	1	3	3	5	3	39
111	22	1	1	8	9	3	1	1	1
